ABC command line: "miter ./hard-instances/BubbleSort_6_4.aig ./hard-instances/PancakeSort_6_4.aig ; sat -v".

==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|     23694 |    4565    12626 |       0    7293   143599    19.7 |  0.189 % |
|     23794 |    4565    12626 |       0    7393   146033    19.8 |  0.189 % |
|     23895 |    4565    12626 |       0    7494   148248    19.8 |  0.189 % |
|     24096 |    4565    12626 |       0    7695   153646    20.0 |  0.189 % |
|     24196 |    4565    12626 |       0    7795   156235    20.0 |  0.189 % |
|     24296 |    4565    12626 |       0    7895   158967    20.1 |  0.189 % |
|     24497 |    4565    12626 |       0    8096   164031    20.3 |  0.189 % |
|     24897 |    4565    12626 |       0    8496   174220    20.5 |  0.189 % |
|     25697 |    4565    12626 |       0    9296   195722    21.1 |  0.189 % |
|     27299 |    4565    12626 |       0   10898   236459    21.7 |  0.189 % |
|     27402 |    4565    12626 |       0   11001   238848    21.7 |  0.189 % |
|     27503 |    4565    12626 |       0   11102   240932    21.7 |  0.189 % |
|     27703 |    4565    12626 |       0   11302   246479    21.8 |  0.189 % |
|     27804 |    4565    12626 |       0   11403   249303    21.9 |  0.189 % |
|     27905 |    4565    12626 |       0   11504   251877    21.9 |  0.188 % |
|     28107 |    4565    12626 |       0   11706   257335    22.0 |  0.189 % |
|     28507 |    4565    12626 |       0   12106   267545    22.1 |  0.189 % |
|     28609 |    4565    12626 |       0   12208   270039    22.1 |  0.189 % |
|     28711 |    4565    12626 |       0   12310   272695    22.2 |  0.189 % |
|     28912 |    4565    12626 |       0   12511   277211    22.2 |  0.189 % |
|     29013 |    4565    12626 |       0   12612   280009    22.2 |  0.189 % |
|     29113 |    4565    12626 |       0   12712   282052    22.2 |  0.189 % |
|     29313 |    4565    12626 |       0   12912   288774    22.4 |  0.189 % |
|     29716 |    4565    12626 |       0    6879   122498    17.8 |  0.189 % |
|     30520 |    4565    12626 |       0    7683   144493    18.8 |  0.189 % |
|     30620 |    4565    12626 |       0    7783   147014    18.9 |  0.189 % |
|     30720 |    4565    12626 |       0    7883   149524    19.0 |  0.189 % |
|     30920 |    4565    12626 |       0    8083   154604    19.1 |  0.189 % |
|     31020 |    4565    12626 |       0    8183   158368    19.4 |  0.189 % |
|     31120 |    4565    12626 |       0    8283   160442    19.4 |  0.188 % |
|     31320 |    4565    12626 |       0    8483   166001    19.6 |  0.189 % |
|     31720 |    4565    12626 |       0    8883   175754    19.8 |  0.189 % |
|     31820 |    4565    12626 |       0    8983   177889    19.8 |  0.189 % |
|     31921 |    4565    12626 |       0    9084   179797    19.8 |  0.189 % |
|     32121 |    4565    12626 |       0    9284   184219    19.8 |  0.189 % |
|     32222 |    4565    12626 |       0    9385   186418    19.9 |  0.189 % |
|     32322 |    4565    12626 |       0    9485   188765    19.9 |  0.189 % |
|     32522 |    4565    12626 |       0    9685   193643    20.0 |  0.189 % |
|     32922 |    4565    12626 |       0   10085   203327    20.2 |  0.189 % |
|     33722 |    4565    12626 |       0   10885   221223    20.3 |  0.188 % |
|     35324 |    4565    12626 |       0   12487   262498    21.0 |  0.189 % |
|     38526 |    4565    12626 |       0    8745   155681    17.8 |  0.189 % |
|     44926 |    4565    12626 |       0    7701   144250    18.7 |  0.189 % |
|     45029 |    4565    12626 |       0    7804   146640    18.8 |  0.189 % |
|     45130 |    4565    12626 |       0    7905   148983    18.8 |  0.189 % |
|     45331 |    4565    12626 |       0    8106   154008    19.0 |  0.189 % |
|     45437 |    4565    12626 |       0    8212   156772    19.1 |  0.189 % |
