ABC command line: "miter ./hard-instances/BubbleSort_6_4.aig ./hard-instances/PancakeSort_6_4.aig ; sat -v".

==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|    135157 |    4565    12626 |       0   19766   348599    17.6 |  0.283 % |
|    135558 |    4565    12626 |       0   20167   358351    17.8 |  0.283 % |
|    136358 |    4565    12626 |       0   20967   377330    18.0 |  0.283 % |
|    137958 |    4565    12626 |       0   22567   417370    18.5 |  0.283 % |
|    141159 |    4565    12626 |       0   13825   231769    16.8 |  0.283 % |
|    147559 |    4565    12626 |       0   20225   382955    18.9 |  0.283 % |
|    147659 |    4565    12626 |       0   20325   385031    18.9 |  0.283 % |
|    147759 |    4565    12626 |       0   20425   387103    19.0 |  0.283 % |
|    147959 |    4565    12626 |       0   20625   391891    19.0 |  0.283 % |
|    148059 |    4565    12626 |       0   20725   393962    19.0 |  0.283 % |
|    148160 |    4565    12626 |       0   20826   397176    19.1 |  0.283 % |
|    148362 |    4565    12626 |       0   21028   401682    19.1 |  0.283 % |
|    148763 |    4565    12626 |       0   21429   412205    19.2 |  0.283 % |
|    148863 |    4565    12626 |       0   21529   414436    19.3 |  0.283 % |
|    148964 |    4565    12626 |       0   21630   416816    19.3 |  0.283 % |
|    149166 |    4565    12626 |       0   21832   422375    19.3 |  0.283 % |
|    149267 |    4565    12626 |       0   21933   424462    19.4 |  0.283 % |
|    149367 |    4565    12626 |       0   22033   427139    19.4 |  0.283 % |
|    149569 |    4565    12626 |       0   22235   431544    19.4 |  0.283 % |
|    149969 |    4565    12626 |       0   22635   440810    19.5 |  0.283 % |
|    150769 |    4565    12626 |       0   23435   461299    19.7 |  0.283 % |
|    150871 |    4565    12626 |       0   23537   463235    19.7 |  0.283 % |
|    150973 |    4565    12626 |       0   23639   464733    19.7 |  0.283 % |
|    151174 |    4565    12626 |       0   23840   470015    19.7 |  0.286 % |
|    151274 |    4565    12626 |       0   23940   472161    19.7 |  0.286 % |
|    151374 |    4565    12626 |       0   24040   474317    19.7 |  0.283 % |
|    151575 |    4565    12626 |       0   24241   478334    19.7 |  0.283 % |
|    151976 |    4565    12626 |       0   24642   491113    19.9 |  0.286 % |
|    152078 |    4565    12626 |       0   24744   493354    19.9 |  0.286 % |
|    152179 |    4565    12626 |       0   24845   495863    20.0 |  0.286 % |
|    152381 |    4565    12626 |       0   12654   188880    14.9 |  0.286 % |
|    152481 |    4565    12626 |       0   12754   190809    15.0 |  0.286 % |
|    152581 |    4565    12626 |       0   12854   193921    15.1 |  0.286 % |
|    152782 |    4565    12626 |       0   13055   198450    15.2 |  0.286 % |
|    153182 |    4565    12626 |       0   13455   208514    15.5 |  0.283 % |
|    153984 |    4565    12626 |       0   14257   231961    16.3 |  0.283 % |
|    155584 |    4565    12626 |       0   15857   264421    16.7 |  0.286 % |
|    155684 |    4565    12626 |       0   15957   266627    16.7 |  0.283 % |
|    155784 |    4565    12626 |       0   16057   268675    16.7 |  0.286 % |
|    155985 |    4565    12626 |       0   16258   273603    16.8 |  0.283 % |
|    156086 |    4565    12626 |       0   16359   275747    16.9 |  0.283 % |
|    156189 |    4565    12626 |       0   16462   278318    16.9 |  0.286 % |
|    156391 |    4565    12626 |       0   16664   282455    17.0 |  0.286 % |
|    156792 |    4565    12626 |       0   17065   291214    17.1 |  0.286 % |
|    156893 |    4565    12626 |       0   17166   293361    17.1 |  0.283 % |
|    156994 |    4565    12626 |       0   17267   295524    17.1 |  0.283 % |
|    157194 |    4565    12626 |       0   17467   300306    17.2 |  0.283 % |
|    157295 |    4565    12626 |       0   17568   302726    17.2 |  0.283 % |
|    157397 |    4565    12626 |       0   17670   304871    17.3 |  0.283 % |
|    157597 |    4565    12626 |       0   17870   308511    17.3 |  0.286 % |
|    157997 |    4565    12626 |       0   18270   317155    17.4 |  0.283 % |
|    158801 |    4565    12626 |       0   19074   334094    17.5 |  0.283 % |
|    158903 |    4565    12626 |       0   19176   335376    17.5 |  0.286 % |
|    159004 |    4565    12626 |       0   19277   337331    17.5 |  0.286 % |
|    159208 |    4565    12626 |       0   19481   343261    17.6 |  0.283 % |
|    159308 |    4565    12626 |       0   19581   345554    17.6 |  0.286 % |
|    159409 |    4565    12626 |       0   19682   348386    17.7 |  0.286 % |
|    159609 |    4565    12626 |       0   19882   352657    17.7 |  0.283 % |
|    160009 |    4565    12626 |       0   20282   361805    17.8 |  0.283 % |
|    160109 |    4565    12626 |       0   20382   363511    17.8 |  0.283 % |
|    160209 |    4565    12626 |       0   20482   365729    17.9 |  0.283 % |
|    160410 |    4565    12626 |       0   20683   369958    17.9 |  0.286 % |
|    160510 |    4565    12626 |       0   20783   372327    17.9 |  0.286 % |
|    160611 |    4565    12626 |       0   20884   374795    17.9 |  0.283 % |
|    160812 |    4565    12626 |       0   21085   379401    18.0 |  0.283 % |
|    161213 |    4565    12626 |       0   21486   388847    18.1 |  0.286 % |
|    162013 |    4565    12626 |       0   22286   405908    18.2 |  0.283 % |
|    163615 |    4565    12626 |       0   23888   439722    18.4 |  0.283 % |
|    166817 |    4565    12626 |       0   14054   196801    14.0 |  0.287 % |
|    166917 |    4565    12626 |       0   14154   198939    14.1 |  0.287 % |
|    167018 |    4565    12626 |       0   14255   201041    14.1 |  0.283 % |
|    167220 |    4565    12626 |       0   14457   205840    14.2 |  0.283 % |
|    167321 |    4565    12626 |       0   14558   208354    14.3 |  0.283 % |
|    167421 |    4565    12626 |       0   14658   210135    14.3 |  0.283 % |
|    167623 |    4565    12626 |       0   14860   215209    14.5 |  0.283 % |
|    168023 |    4565    12626 |       0   15260   224034    14.7 |  0.283 % |
|    168125 |    4565    12626 |       0   15362   226443    14.7 |  0.287 % |
|    168227 |    4565    12626 |       0   15464   228516    14.8 |  0.287 % |
|    168428 |    4565    12626 |       0   15665   232465    14.8 |  0.285 % |
|    168528 |    4565    12626 |       0   15765   234236    14.9 |  0.283 % |
|    168629 |    4565    12626 |       0   15866   236324    14.9 |  0.285 % |
|    168829 |    4565    12626 |       0   16066   240473    15.0 |  0.285 % |
|    169229 |    4565    12626 |       0   16466   248468    15.1 |  0.287 % |
|    170029 |    4565    12626 |       0   17266   264989    15.3 |  0.285 % |
|    170130 |    4565    12626 |       0   17367   266695    15.4 |  0.283 % |
|    170230 |    4565    12626 |       0   17467   268010    15.3 |  0.287 % |
|    170431 |    4565    12626 |       0   17668   271314    15.4 |  0.283 % |
|    170531 |    4565    12626 |       0   17768   272760    15.4 |  0.283 % |
|    170633 |    4565    12626 |       0   17870   276657    15.5 |  0.283 % |
|    170834 |    4565    12626 |       0   18071   280842    15.5 |  0.283 % |
|    171237 |    4565    12626 |       0   18474   290151    15.7 |  0.283 % |
|    171337 |    4565    12626 |       0   18574   292536    15.7 |  0.283 % |
|    171437 |    4565    12626 |       0   18674   294208    15.8 |  0.283 % |
|    171637 |    4565    12626 |       0   18874   299631    15.9 |  0.283 % |
|    171739 |    4565    12626 |       0   18976   302016    15.9 |  0.283 % |
|    171839 |    4565    12626 |       0   19076   304235    15.9 |  0.283 % |
|    172041 |    4565    12626 |       0   19278   308021    16.0 |  0.283 % |
|    172441 |    4565    12626 |       0   19678   317298    16.1 |  0.283 % |
|    173245 |    4565    12626 |       0   20482   335310    16.4 |  0.283 % |
|    174846 |    4565    12626 |       0   22083   375725    17.0 |  0.283 % |
|    174947 |    4565    12626 |       0   22184   378503    17.1 |  0.283 % |
|    175049 |    4565    12626 |       0   22286   380726    17.1 |  0.283 % |
|    175249 |    4565    12626 |       0   22486   385763    17.2 |  0.283 % |
|    175349 |    4565    12626 |       0   22586   387891    17.2 |  0.283 % |
|    175451 |    4565    12626 |       0   22688   390939    17.2 |  0.283 % |
|    175651 |    4565    12626 |       0   22888   395346    17.3 |  0.283 % |
|    176051 |    4565    12626 |       0   23288   405168    17.4 |  0.283 % |
|    176152 |    4565    12626 |       0   23389   407116    17.4 |  0.283 % |
|    176253 |    4565    12626 |       0   23490   410056    17.5 |  0.283 % |
|    176454 |    4565    12626 |       0   23691   414943    17.5 |  0.283 % |
|    176554 |    4565    12626 |       0   23791   417319    17.5 |  0.283 % |
|    176656 |    4565    12626 |       0   23893   419329    17.6 |  0.283 % |
|    176858 |    4565    12626 |       0   24095   424087    17.6 |  0.283 % |
|    177258 |    4565    12626 |       0   24495   432932    17.7 |  0.283 % |
|    178059 |    4565    12626 |       0   25296   452034    17.9 |  0.283 % |
|    178159 |    4565    12626 |       0   25396   454433    17.9 |  0.283 % |
|    178259 |    4565    12626 |       0   25496   456116    17.9 |  0.283 % |
|    178459 |    4565    12626 |       0   25696   461349    18.0 |  0.283 % |
|    178560 |    4565    12626 |       0   25797   463597    18.0 |  0.283 % |
|    178660 |    4565    12626 |       0   25897   465506    18.0 |  0.283 % |
|    178860 |    4565    12626 |       0   26097   469320    18.0 |  0.283 % |
|    179260 |    4565    12626 |       0   26497   480441    18.1 |  0.283 % |
|    179361 |    4565    12626 |       0   26598   482735    18.1 |  0.283 % |
|    179461 |    4565    12626 |       0   26698   485006    18.2 |  0.283 % |
|    179662 |    4565    12626 |       0   26899   489446    18.2 |  0.283 % |
|    179762 |    4565    12626 |       0   26999   491562    18.2 |  0.283 % |
|    179863 |    4565    12626 |       0   13750   191950    14.0 |  0.283 % |
|    180065 |    4565    12626 |       0   13952   196903    14.1 |  0.283 % |
|    180466 |    4565    12626 |       0   14353   206257    14.4 |  0.283 % |
|    181267 |    4565    12626 |       0   15154   222492    14.7 |  0.283 % |
|    182869 |    4565    12626 |       0   16756   268200    16.0 |  0.283 % |
|    186070 |    4565    12626 |       0   19957   335269    16.8 |  0.283 % |
|    192470 |    4565    12626 |       0   26357   470622    17.9 |  0.283 % |
|    205272 |    4565    12626 |       0   25035   474660    19.0 |  0.284 % |
|    230872 |    4565    12626 |       0   21292   324282    15.2 |  1.790 % |
|    230972 |    4565    12626 |       0   21392   326544    15.3 |  1.789 % |
|    231075 |    4565    12626 |       0   21495   328782    15.3 |  1.789 % |
|    231276 |    4565    12626 |       0   21696   332648    15.3 |  1.789 % |
|    231376 |    4565    12626 |       0   21796   333821    15.3 |  1.789 % |
|    231477 |    4565    12626 |       0   21897   335401    15.3 |  1.789 % |
|    231677 |    4565    12626 |       0   22097   341839    15.5 |  1.789 % |
|    232077 |    4565    12626 |       0   22497   349348    15.5 |  1.789 % |
|    232178 |    4565    12626 |       0   22598   351417    15.6 |  1.789 % |
|    232278 |    4565    12626 |       0   22698   353032    15.6 |  1.789 % |
|    232478 |    4565    12626 |       0   22898   357964    15.6 |  1.789 % |
|    232578 |    4565    12626 |       0   22998   361216    15.7 |  1.789 % |
|    232678 |    4565    12626 |       0   23098   363848    15.8 |  1.789 % |
|    232878 |    4565    12626 |       0   23298   367988    15.8 |  1.789 % |
|    233278 |    4565    12626 |       0   23698   377470    15.9 |  1.789 % |
|    234078 |    4565    12626 |       0   24498   394471    16.1 |  1.790 % |
|    234179 |    4565    12626 |       0   24599   396753    16.1 |  1.789 % |
|    234279 |    4565    12626 |       0   24699   398629    16.1 |  1.789 % |
|    234479 |    4565    12626 |       0   24899   403789    16.2 |  1.789 % |
|    234582 |    4565    12626 |       0   25002   405537    16.2 |  1.789 % |
|    234682 |    4565    12626 |       0   25102   407753    16.2 |  1.790 % |
|    234885 |    4565    12626 |       0   25305   412125    16.3 |  1.790 % |
|    235285 |    4565    12626 |       0   25705   422973    16.5 |  1.789 % |
|    235386 |    4565    12626 |       0   25806   424809    16.5 |  1.790 % |
|    235486 |    4565    12626 |       0   25906   427317    16.5 |  1.789 % |
|    235687 |    4565    12626 |       0   26107   431259    16.5 |  1.790 % |
|    235787 |    4565    12626 |       0   26207   433552    16.5 |  1.790 % |
|    235887 |    4565    12626 |       0   26307   435678    16.6 |  1.789 % |
|    236090 |    4565    12626 |       0   26510   438996    16.6 |  1.790 % |
|    236491 |    4565    12626 |       0   26911   446030    16.6 |  1.789 % |
|    237291 |    4565    12626 |       0   27711   468747    16.9 |  1.789 % |
|    238891 |    4565    12626 |       0   29311   503398    17.2 |  1.789 % |
|    238991 |    4565    12626 |       0   29411   504953    17.2 |  1.789 % |
|    239091 |    4565    12626 |       0   29511   507649    17.2 |  1.789 % |
|    239291 |    4565    12626 |       0   29711   511339    17.2 |  1.789 % |
|    239394 |    4565    12626 |       0   29814   513428    17.2 |  1.790 % |
|    239494 |    4565    12626 |       0   29914   515531    17.2 |  1.790 % |
|    239695 |    4565    12626 |       0   30115   518835    17.2 |  1.789 % |
|    240096 |    4565    12626 |       0   30516   526236    17.2 |  1.791 % |
|    240197 |    4565    12626 |       0   30617   528255    17.3 |  1.792 % |
|    240298 |    4565    12626 |       0   30718   530392    17.3 |  1.789 % |
|    240498 |    4565    12626 |       0   30918   533261    17.2 |  1.793 % |
|    240598 |    4565    12626 |       0   15985   165055    10.3 |  1.793 % |
|    240699 |    4565    12626 |       0   16086   167030    10.4 |  1.790 % |
|    240900 |    4565    12626 |       0   16287   170632    10.5 |  1.792 % |
|    241301 |    4565    12626 |       0   16688   180612    10.8 |  1.795 % |
|    242101 |    4565    12626 |       0   17488   196201    11.2 |  1.789 % |
|    242201 |    4565    12626 |       0   17588   198030    11.3 |  1.795 % |
|    242302 |    4565    12626 |       0   17689   199901    11.3 |  1.795 % |
|    242502 |    4565    12626 |       0   17889   203208    11.4 |  1.789 % |
|    242603 |    4565    12626 |       0   17990   205317    11.4 |  1.789 % |
|    242703 |    4565    12626 |       0   18090   207080    11.4 |  1.789 % |
|    242903 |    4565    12626 |       0   18290   211751    11.6 |  1.795 % |
|    243304 |    4565    12626 |       0   18691   218572    11.7 |  1.795 % |
|    243406 |    4565    12626 |       0   18793   220351    11.7 |  1.795 % |
|    243509 |    4565    12626 |       0   18896   221785    11.7 |  1.789 % |
|    243709 |    4565    12626 |       0   19096   224470    11.8 |  1.797 % |
|    243809 |    4565    12626 |       0   19196   226416    11.8 |  1.796 % |
|    243913 |    4565    12626 |       0   19300   228526    11.8 |  1.790 % |
|    244114 |    4565    12626 |       0   19501   232380    11.9 |  1.790 % |
|    244514 |    4565    12626 |       0   19899   238189    12.0 |  7.722 % |
==============================================================================
starts        :              572
conflicts     :           244596
decisions     :           409767
propagations  :         40097554
UNSATISFIABLE  Time =    12.72 sec
